,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
2588,John Saleh,11306260,61,41,31,5,3,4,6,6,4,45,34,53,advanced_data_science
2589,David Strother,16827081,46,28,27,3,4,3,4,6,2,53,59,61,advanced_data_science
2590,Manuel Salmon,12585209,44,78,9,2,3,6,0,7,0,71,65,52,beginner_backend
2591,Shannon Morsbach,95846394,60,36,20,7,1,5,6,4,5,49,57,89,advanced_data_science
2592,Kenneth Jackson,56630177,64,34,37,4,1,7,0,8,4,58,45,43,advanced_data_science
2593,Cynthia Matthews,23214823,40,35,21,3,7,2,4,3,4,87,80,58,beginner_front_end
2594,Amy Martinez,38195417,37,40,59,2,3,6,3,4,3,54,86,78,beginner_data_science
2595,Daniel Curtis,27799443,62,45,16,7,9,5,6,5,6,78,81,63,beginner_front_end
2596,David Donati,20379683,39,20,73,3,0,6,6,2,3,59,91,62,beginner_data_science
2597,Timothy Kyle,53706514,44,71,37,5,2,6,6,7,4,50,58,68,advanced_data_science
2598,Micheal Brenna,31742734,14,42,51,0,1,7,0,3,5,,64,79,beginner_data_science
2599,Bradley Cervantes,78081216,28,16,58,4,2,6,6,1,3,61,91,57,beginner_data_science
2600,Daniel Hughes,28978817,59,42,39,3,5,4,3,7,3,52,57,55,advanced_data_science
2601,Madeline Mccombs,40949454,39,33,37,1,8,2,3,5,0,46,58,49,advanced_front_end
2602,Melissa Clark,12246528,43,32,29,2,4,2,3,5,4,53,56,64,advanced_data_science
2603,Terry Cook,16364057,7,30,33,2,4,7,2,2,3,62,57,68,beginner_data_science
2604,Agnes Sykes,2874426,0,42,63,1,4,3,3,8,4,65,76,71,advanced_front_end
2605,Judith Plante,56643766,22,13,90,3,0,5,4,1,2,46,79,55,beginner_data_science
2606,Kathryn Mcmillan,15319443,32,27,44,9,2,8,2,8,8,83,63,91,advanced_backend
2607,Paul Englert,65458734,35,28,67,0,5,3,1,3,2,60,44,56,advanced_data_science
2608,Holly Simon,28240905,54,57,82,4,1,4,3,3,4,59,80,65,beginner_data_science
2609,Lydia Gonzalez,26761882,27,36,44,3,2,1,3,7,1,71,63,68,beginner_backend
2610,Melvin Smith,90368165,62,0,54,2,4,7,6,6,0,62,43,82,beginner_front_end
2611,Walter Mullins,97609146,21,31,13,1,4,6,6,5,3,85,75,64,beginner_backend
2612,Randy Clark,90966069,51,39,23,5,3,5,3,6,4,51,68,71,advanced_data_science
2613,Sharon Murray,33274654,57,45,10,1,6,4,6,7,0,71,71,80,beginner_data_science
2614,Cornelius Swift,25221932,35,44,29,6,2,9,5,6,11,78,68,57,advanced_backend
2615,Cynthia Halstead,31601338,89,0,35,4,7,7,5,6,1,53,63,83,beginner_front_end
2616,George Campbell,12572401,39,31,62,3,2,2,5,1,4,59,54,54,beginner_data_science
2617,Jane Glaze,87838090,0,62,16,1,1,1,0,9,3,100,42,39,beginner_front_end
2618,Pamela Haydu,64177152,13,28,10,8,4,5,5,6,1,60,67,73,advanced_backend
2619,Barbara Clemons,13604246,13,5,38,2,1,4,3,4,3,71,59,65,beginner_data_science
2620,Effie Ferguson,24862297,20,35,51,5,5,0,4,5,5,79,68,51,beginner_front_end
2621,Jacob Curry,32241441,74,71,52,4,1,5,4,8,2,39,76,83,beginner_backend
2622,Lilia Ufford,91825204,0,65,69,5,3,6,5,4,8,71,79,74,advanced_backend
2623,Dorothy Owen,40896664,5,45,11,3,3,2,0,7,3,64,59,59,beginner_backend
2624,Jenny Sherrill,66101524,59,58,32,5,2,7,5,4,7,69,58,67,advanced_backend
2625,Michael Thompkins,74279221,44,49,66,6,4,7,2,2,3,57,91,81,beginner_data_science
2626,Jennifer Guerra,36692638,11,14,29,2,2,5,2,5,3,66,63,74,beginner_data_science
2627,Mark Herrod,62983,43,0,0,8,5,3,4,6,5,71,83,74,advanced_backend
2628,George Vorpahl,8697194,3,61,0,2,1,0,2,4,4,98,52,36,beginner_front_end
2629,Marta Bally,10663942,32,52,57,4,6,4,2,4,3,66,77,45,advanced_front_end
2630,Inocencia Finnie,44907848,43,66,16,6,3,6,5,4,1,57,59,65,advanced_data_science
2631,Pamela Chalmers,23170336,41,44,82,5,3,6,6,3,1,66,80,50,beginner_data_science
2632,Benjamin Eckart,1907740,0,36,35,6,2,0,3,6,1,98,80,54,beginner_front_end
2633,Thomas Harrington,74652988,76,24,18,8,3,5,4,1,0,55,49,66,advanced_data_science
2634,Kimberly Wallace,42900697,48,77,21,2,3,4,3,4,2,84,82,61,beginner_backend
2635,Virginia Shook,16145386,18,19,21,2,5,6,3,5,1,54,58,77,beginner_data_science
2636,Betty Barris,95683496,38,26,59,2,3,2,2,6,2,68,58,79,advanced_front_end
2637,Zachary Rogers,98177112,45,0,56,4,0,4,0,6,5,49,77,60,advanced_front_end
2638,Diane Hale,44012995,50,44,3,7,3,4,3,3,1,64,49,72,advanced_data_science
2639,Dale Wells,98279752,56,13,11,4,3,3,5,4,8,85,85,82,advanced_backend
2640,Thelma Simmons,65371808,56,73,44,4,6,2,3,3,1,66,66,54,advanced_front_end
2641,Cornelius Farmer,98881622,25,53,26,5,3,6,7,1,7,82,71,59,advanced_backend
2642,Anthony Werth,77038861,57,4,30,2,5,2,1,3,1,59,49,55,beginner_front_end
2643,Robert Ross,15170437,40,67,38,3,4,2,3,5,3,74,76,76,beginner_backend
2644,Diane Reddy,22722861,32,90,25,4,2,4,5,6,4,61,52,84,advanced_data_science
2645,Darline Durbin,68338625,70,32,77,3,6,2,2,3,2,59,45,65,advanced_data_science
2646,Valerie Christain,4477960,13,42,49,6,4,7,0,2,3,49,81,78,beginner_data_science
2647,Timothy Johnston,53096858,21,47,60,2,0,3,1,2,7,50,77,75,beginner_backend
2648,Marvin Lott,23272366,14,0,56,1,2,7,1,7,5,61,61,50,advanced_front_end
2649,Anna Lemieux,53959736,23,12,62,1,2,5,3,3,2,39,58,62,beginner_data_science
2650,David Malone,82890557,73,56,42,5,6,2,3,3,2,67,78,70,advanced_front_end
2651,James Blankenship,18656122,75,53,20,6,5,5,2,3,3,64,29,42,beginner_front_end
2652,Eleanor Sparks,88597423,20,14,0,7,0,10,0,3,3,64,76,77,advanced_data_science
2653,Raymond Gonzalez,61131676,33,12,65,1,2,2,2,7,5,45,71,75,advanced_front_end
2654,Jennifer August,8321864,41,50,29,3,6,5,3,4,2,67,60,50,advanced_front_end
2655,Willie Sweat,92811791,27,49,17,4,5,4,4,4,4,58,70,74,advanced_backend
2656,Grover Richter,61888672,63,18,56,3,5,3,1,5,0,62,74,37,advanced_front_end
2657,Charles Galicia,90888075,49,33,66,4,3,5,7,4,1,48,87,63,beginner_data_science
2658,Hattie Beyers,32448403,15,102,29,2,3,6,5,11,5,65,60,59,advanced_data_science
2659,Richard Hernandez,41991134,22,35,38,3,3,3,4,1,7,66,81,74,beginner_backend
2660,Gary Renfrew,12359464,61,19,64,4,7,6,1,3,0,63,58,15,advanced_front_end
2661,Barbara Green,48255994,37,71,0,8,3,8,1,9,0,63,80,50,advanced_data_science
2662,John Ramirez,47088733,77,7,18,6,2,8,1,5,4,38,66,55,advanced_data_science
2663,Clarence Cain,12980375,48,36,19,7,3,6,2,4,0,58,64,56,advanced_data_science
2664,Harry Maddox,65182735,81,27,54,8,4,5,4,0,3,53,70,100,advanced_data_science
2665,James Perez,60232369,15,37,41,3,7,8,2,4,2,62,68,11,advanced_front_end
2666,Kevin Stephenson,24507200,45,16,66,5,4,3,1,3,2,64,59,69,advanced_data_science
2667,Ben Brown,68905432,81,11,27,2,6,5,4,5,3,58,40,63,beginner_front_end
2668,Derek Fussell,84907301,21,38,15,7,5,1,3,6,8,88,66,57,beginner_front_end
2669,John Choice,91115370,51,29,37,3,2,5,4,8,10,57,95,59,advanced_backend
2670,Belinda Cavazos,99313351,0,59,47,2,3,5,2,7,5,52,76,47,advanced_front_end
2671,Joesph Amburgey,2952202,20,75,63,3,2,7,5,3,8,75,68,73,advanced_backend
2672,Cheryl Maxwell,74346562,23,45,41,4,2,5,6,4,6,63,72,96,advanced_backend
2673,Jon Walczak,91770402,14,7,49,2,3,3,9,3,6,70,77,80,beginner_backend
2674,Emily Anderson,26103490,0,16,55,3,10,6,1,3,9,71,91,81,beginner_backend
2675,Mary Wison,62628518,98,35,41,7,3,4,5,3,2,62,34,67,advanced_data_science
2676,Anthony Robertson,517217,42,15,61,5,6,4,3,3,3,77,87,83,beginner_data_science
2677,Deanna Anderson,72675521,62,41,26,5,3,7,1,3,3,54,84,81,advanced_data_science
2678,Michele Kurtz,38117245,0,59,16,2,6,5,1,1,5,92,100,66,beginner_backend
2679,Elsa Thompson,63357271,54,55,21,6,2,6,3,3,3,64,64,88,advanced_data_science
2680,Ramon Tarvis,1656601,58,61,34,5,5,6,5,8,5,47,89,76,advanced_data_science
2681,Mary Bates,38106700,25,65,17,6,3,5,1,7,1,71,45,49,advanced_data_science
2682,Carl Lysak,82965843,0,20,15,0,5,8,1,1,6,96,90,52,beginner_backend
2683,Robert Willis,72742877,57,44,52,1,5,3,2,7,3,63,67,81,beginner_data_science
2684,Don Amoroso,62274495,46,50,27,6,4,7,0,4,6,66,77,77,advanced_backend
2685,Dorothy Renyer,33606971,37,39,50,3,3,5,0,2,4,64,60,84,advanced_data_science
2686,Matthew Perry,7139152,0,32,34,4,7,2,3,5,3,86,79,76,beginner_backend
2687,Elizabeth Prahm,56152160,0,17,31,2,2,8,3,2,2,72,78,71,beginner_data_science
2688,Kevin Goodpasture,79718543,66,74,23,1,0,2,2,9,0,44,38,61,beginner_backend
2689,James Burton,18218721,41,53,43,3,2,2,8,4,6,68,74,66,advanced_backend
2690,Susan Hurt,51543544,38,35,52,2,1,5,5,5,2,86,71,58,beginner_data_science
2691,Chris Benitez,21145377,20,62,52,1,6,2,5,5,2,70,80,65,advanced_front_end
2692,Patricia Carr,82589015,0,78,63,2,0,7,8,0,8,96,,81,advanced_backend
2693,Kacie Fultz,33297671,63,50,34,5,7,6,0,3,4,81,78,94,beginner_data_science
2694,Margaret Swenson,11686182,18,23,63,3,0,4,7,3,3,55,69,49,beginner_data_science
2695,Ruben Willis,26098601,49,40,21,3,3,3,5,5,7,67,86,58,advanced_backend
2696,Ernest Davine,44842414,87,24,28,,7,3,2,2,1,38,79,41,advanced_front_end
2697,Nathan Quinn,64324567,63,63,34,8,3,5,5,1,5,52,66,100,advanced_data_science
2698,Kevin Kaplan,536671,24,54,18,3,4,1,2,5,3,92,59,44,beginner_front_end
2699,Jerry Matney,80222610,46,53,9,6,3,3,4,6,3,63,47,77,advanced_data_science
2700,Kenneth Candelaria,54041369,75,24,48,3,3,3,2,6,2,57,35,50,beginner_front_end
2701,Annmarie Hall,53467955,29,48,23,5,5,6,5,2,6,64,69,79,advanced_backend
2702,Robert Henson,47661791,38,40,85,4,3,3,7,1,3,61,65,49,beginner_data_science
2703,Juanita Rushing,62411823,0,16,33,0,6,6,3,2,7,87,85,71,beginner_backend
2704,Susan Gross,40459156,48,66,33,5,4,4,1,8,0,65,65,69,beginner_backend
2705,Dora Enriquez,28938582,59,51,43,3,3,0,4,5,2,81,53,71,beginner_backend
2706,Kate Nettles,49177254,44,36,38,3,5,7,0,2,5,80,86,93,beginner_data_science
2707,Brian Lumpkin,12746806,12,62,37,4,1,0,1,3,3,91,48,34,beginner_front_end
2708,William Shiba,16308399,36,78,1,5,1,5,5,3,4,54,100,72,beginner_backend
2709,David Parr,5996897,14,69,28,6,5,8,2,3,4,58,72,51,advanced_backend
2710,Christine Baier,91185536,35,46,34,2,2,5,1,7,5,49,42,42,advanced_data_science
2711,Patricia Copeland,40339588,26,22,67,3,2,5,2,2,4,67,56,64,beginner_data_science
2712,Robert Pond,86047318,25,,76,5,0,6,4,3,3,61,68,53,beginner_data_science
2713,Yong Schwartz,58353519,96,1,23,10,1,9,2,4,3,37,76,61,advanced_data_science
2714,Barbara Bruce,45071989,102,86,37,6,0,2,8,5,1,43,76,79,beginner_backend
2715,James Fisher,53481812,30,28,52,2,2,4,1,5,4,43,64,52,advanced_front_end
2716,Bobby San,51853365,37,71,7,6,3,4,6,6,1,63,42,50,advanced_data_science
2717,Clinton Mcbride,46793412,23,39,33,9,3,7,3,2,5,93,66,81,advanced_backend
2718,Kisha Hammons,27186251,27,24,82,4,0,10,4,1,2,70,97,61,beginner_data_science
2719,John Crawford,90201296,20,57,28,2,6,0,3,3,4,81,78,47,beginner_front_end
2720,Laura Eld,70240570,37,48,49,3,4,5,1,4,2,51,70,36,advanced_front_end
2721,Nathan Mier,43042038,105,0,37,2,8,7,5,7,1,48,41,74,beginner_front_end
2722,Robert Hearns,42385346,45,44,47,3,4,4,2,6,3,57,76,78,advanced_data_science
2723,Gayle Bonnett,4468228,26,43,15,3,5,3,0,2,4,38,69,97,beginner_data_science
2724,Duncan Simone,20128497,50,55,36,6,4,3,7,5,2,65,61,78,beginner_backend
2725,Howard Justice,84590032,37,55,32,5,2,5,8,2,5,57,94,93,beginner_backend
2726,Karen Primus,41162420,56,29,0,6,3,3,4,6,2,54,61,60,advanced_data_science
2727,Melanie Smith,80257011,4,76,44,5,4,6,4,4,2,56,67,64,advanced_backend
2728,Mary Dearborn,88026557,2,41,28,5,4,3,5,1,1,77,78,89,advanced_backend
2729,Lori Decker,41990716,52,35,53,3,3,0,4,4,4,47,65,77,beginner_data_science
2730,Tammy Griffith,69818226,65,53,20,5,3,7,3,3,5,65,62,64,advanced_backend
2731,Steven Wheeler,22822771,41,29,21,2,7,6,3,6,4,41,82,36,advanced_front_end
2732,Diane Bursley,41877832,28,48,31,5,6,2,0,8,4,87,65,51,beginner_front_end
2733,Melanie Reed,38916483,0,70,60,4,4,1,1,4,4,50,81,60,advanced_front_end
2734,Lisa Blass,88156458,41,39,63,3,3,5,1,2,4,64,96,87,beginner_data_science
2735,David Peters,91775160,30,39,16,6,3,6,4,4,5,73,74,62,advanced_backend
2736,Kenneth Lewis,32979632,45,53,19,4,3,5,1,4,1,67,55,67,advanced_data_science
2737,Erika Slade,27571896,0,19,45,3,6,2,1,6,2,86,67,68,beginner_backend
2738,Thomas Barnard,65474370,27,71,2,6,2,0,2,4,6,87,66,33,beginner_front_end
2739,James Hatton,85125964,44,39,25,6,6,6,3,5,8,64,68,72,advanced_backend
2740,Kristin Ruthstrom,8279364,56,90,12,4,1,4,4,2,6,55,86,66,beginner_backend
2741,Laura Everson,49231785,68,23,26,1,6,6,5,4,1,63,75,73,beginner_front_end
2742,Wilford Estrada,97075724,29,6,25,4,1,4,3,6,3,82,59,67,beginner_front_end
2743,Keith Daniels,34942962,42,28,54,1,6,7,1,5,2,68,96,92,beginner_data_science
2744,Crystal Williams,5916439,51,72,15,5,2,7,2,9,3,59,36,36,advanced_data_science
2745,Justin Donaldson,4118466,29,25,46,1,4,2,0,8,3,64,71,65,advanced_data_science
2746,Karen Sterner,74570505,39,34,23,4,6,1,6,5,6,72,84,63,beginner_front_end
2747,William Knight,3415798,56,39,50,6,2,5,5,2,2,59,58,78,advanced_data_science
2748,Marion Macnab,70957223,20,55,36,5,3,5,3,1,4,42,43,66,beginner_data_science
2749,Elizabeth Rolfes,53750244,0,31,58,1,3,5,2,7,4,62,72,58,advanced_front_end
2750,Lawrence Miller,72973030,52,46,39,4,3,5,3,6,1,68,76,62,advanced_data_science
2751,Dorothy Carranza,99149869,19,20,38,2,5,5,1,5,4,38,88,34,advanced_front_end
2752,Charles Bucknell,11772044,38,68,23,5,5,5,3,3,4,75,66,59,beginner_backend
2753,Edward Starcher,27062506,70,27,31,5,6,4,0,2,4,34,95,28,advanced_front_end
2754,Kristen Argenbright,74302098,72,0,24,3,8,3,3,4,2,58,77,57,advanced_front_end
2755,Marsha Smith,98956932,20,14,24,0,5,3,2,5,4,55,78,69,advanced_front_end
2756,Alvin Mccullough,11850929,39,52,41,3,1,4,5,4,6,70,79,85,advanced_backend
2757,Stephanie Terra,59698564,38,44,0,1,3,3,0,4,0,77,55,49,beginner_front_end
2758,Elisha Cooper,25431147,63,19,0,3,7,4,3,7,4,78,69,71,beginner_front_end
2759,Sharon Lowe,69863370,32,74,40,2,5,0,4,5,3,61,73,91,advanced_front_end
2760,Helen Deering,83284635,66,31,8,0,7,6,2,6,1,69,71,67,beginner_front_end
2761,Nicholas Jones,70801992,13,37,23,3,4,3,0,7,2,68,60,67,beginner_backend
2762,Helga Davis,77298432,38,61,0,8,5,3,4,5,0,68,64,69,advanced_data_science
2763,Frank Spurling,48589794,35,50,71,5,5,6,0,1,4,81,68,68,beginner_data_science
2764,Donald Cohen,99081941,69,16,10,4,6,4,4,2,4,63,61,61,beginner_front_end
2765,Penny Loveman,39158523,21,31,29,3,5,2,2,9,0,83,53,78,beginner_backend
2766,Sylvia Bartlett,78176113,15,78,47,2,5,2,5,6,3,63,58,72,advanced_data_science
2767,Jennifer Kent,86382207,51,48,27,4,3,7,3,4,6,42,84,86,advanced_data_science
2768,Steven Gomez,19520898,34,85,28,6,3,6,3,6,2,72,51,73,advanced_data_science
2769,Leonard Allison,37521864,0,21,40,4,0,0,2,3,2,94,69,54,beginner_front_end
2770,Willie Deacon,76784284,40,103,41,5,7,0,4,3,1,63,84,63,advanced_front_end
2771,Lisa Anthony,12298537,47,47,14,5,5,4,4,1,3,62,64,79,advanced_backend
2772,John Copeland,67863735,39,33,48,4,1,3,5,5,4,65,66,78,beginner_backend
2773,Lillian Strode,21566551,3,56,27,7,3,6,5,0,3,83,57,100,advanced_backend
2774,Thomas Farris,21531727,35,53,55,4,4,2,4,5,4,72,95,80,beginner_backend
2775,Betty Coyt,76632209,89,60,35,4,2,3,3,4,4,70,68,64,advanced_backend
2776,Rose Gee,70618004,26,16,38,2,2,2,5,3,4,70,61,66,beginner_data_science
2777,Catherine Mccray,3794071,5,16,40,4,3,6,2,2,3,57,69,80,beginner_data_science
2778,Edwin Box,14425753,75,0,33,1,5,4,2,5,1,58,55,75,beginner_front_end
2779,Christopher Conley,9624073,17,58,55,4,4,2,2,7,4,53,82,59,advanced_front_end
2780,Cynthia Leonberger,64113248,0,39,59,2,3,5,2,7,4,51,66,43,advanced_front_end
2781,Jo Bowman,3341626,39,49,21,0,6,5,1,7,4,75,66,72,beginner_backend
2782,William Barbin,6223445,60,33,81,2,1,2,10,7,1,69,79,44,beginner_data_science
2783,Jesse Nixon,50568850,78,28,11,3,6,3,5,7,7,74,36,51,beginner_front_end
2784,Steve Sheehan,32191976,39,71,24,5,4,4,4,7,2,73,66,75,advanced_data_science
2785,Craig Sierra,41516821,66,53,15,2,5,2,2,4,3,58,49,40,beginner_front_end
2786,Robert Gallagher,92904888,58,57,55,1,3,13,0,5,2,69,93,86,beginner_data_science
2787,Marjorie Owens,61572797,22,28,47,4,2,0,7,3,3,41,59,63,beginner_data_science
2788,Geoffrey Lee,61063163,49,53,67,0,3,3,3,3,3,47,70,65,beginner_data_science
2789,Rita Thompson,75391780,0,89,55,7,2,11,6,3,8,77,41,62,advanced_backend
2790,Arnold Hughes,52794886,26,11,41,0,2,4,6,4,3,64,72,60,beginner_data_science
2791,Emily Culbreth,62377020,22,66,52,4,2,8,3,3,6,75,75,58,advanced_backend
2792,Shelby Ross,40580273,46,30,38,2,5,3,2,4,2,49,71,47,advanced_front_end
2793,Katie Highbaugh,61732372,59,82,16,6,2,4,9,7,4,57,41,65,advanced_data_science
2794,Mary Dickson,42934070,78,58,20,7,2,6,6,4,5,50,60,96,advanced_data_science
2795,Kathy Hill,91665077,39,73,46,3,5,4,3,4,1,61,69,36,advanced_front_end
2796,Charles Soto,76684287,77,51,35,3,2,1,7,3,2,60,59,80,advanced_backend
2797,Johnathan Haygood,20041811,13,72,31,5,11,4,4,2,2,71,78,35,advanced_front_end
2798,Steven Myers,11161259,45,19,44,4,5,3,2,5,3,67,61,63,beginner_front_end
2799,Mary Doyle,56888815,74,27,37,4,1,5,4,4,5,44,50,67,advanced_data_science
2800,Dwayne Stadler,51959283,16,93,44,5,6,8,4,3,6,49,63,46,advanced_backend
2801,Jeffrey Gilbert,24331645,43,8,38,4,5,2,4,3,3,67,68,63,beginner_front_end
2802,Earl Hunt,50355444,63,4,0,3,5,4,2,2,3,63,59,65,beginner_front_end
2803,Faye Eslinger,56412823,42,80,44,4,6,4,3,4,3,49,77,41,advanced_front_end
2804,Paul Hartley,88787335,8,34,32,6,3,5,6,2,4,81,77,89,advanced_backend
2805,Florence Petrey,40450973,63,32,40,2,2,4,3,5,8,46,63,87,advanced_data_science
2806,Miriam Peterson,95502663,8,30,13,2,6,2,1,7,2,91,60,62,beginner_backend
2807,William Carson,67922412,71,1,22,0,7,3,2,3,0,50,56,50,advanced_front_end
2808,Gerard Waites,52845442,59,45,23,8,3,6,3,5,3,64,55,76,advanced_backend
2809,Ryan Nolan,96104196,32,37,44,4,4,8,0,0,4,46,87,90,beginner_data_science
2810,Howard Brown,40650146,68,27,31,7,3,7,0,5,1,54,72,60,advanced_data_science
2811,Frederick Burgess,94142797,46,47,38,5,2,5,0,4,3,68,54,73,advanced_data_science
2812,David Coleman,18218413,50,23,14,1,4,5,0,8,0,73,55,66,beginner_front_end
2813,Florence Caraway,78757241,5,36,59,2,4,4,3,7,5,63,86,63,advanced_front_end
2814,Lindsay Franklin,87869195,43,43,33,4,4,6,0,5,3,59,76,76,advanced_data_science
2815,Berta West,82930321,33,39,28,7,7,6,2,1,3,71,62,78,beginner_data_science
2816,Eddie Twiggs,62138349,41,36,55,2,5,4,0,4,3,56,94,99,beginner_data_science
2817,Frances Lynch,14248637,61,52,14,5,4,5,4,8,3,48,74,59,advanced_data_science
2818,Hazel Walters,75830725,21,27,47,0,4,6,5,2,6,85,77,59,beginner_backend
2819,Kathleen Nahhas,96805087,57,64,42,4,2,2,2,5,4,62,71,79,beginner_backend
2820,Hope Johnson,76541837,0,55,35,7,2,8,7,1,5,88,54,73,advanced_backend
2821,Todd Hunter,22522285,60,63,49,3,2,5,4,3,7,79,78,61,advanced_backend
2822,Crystal Abeyta,39625238,41,20,30,2,2,3,3,6,2,70,44,63,beginner_front_end
2823,Cynthia Mcglothin,40192604,43,35,24,2,3,1,1,5,4,76,54,53,beginner_front_end
2824,Richard Seibert,44315082,32,40,43,4,4,6,3,4,2,47,63,70,beginner_data_science
2825,Mark Hunt,34814760,40,79,50,2,1,3,8,4,5,59,62,59,advanced_backend
2826,Rebecca Crawford,79238261,51,96,38,4,6,7,4,1,5,56,50,49,advanced_backend
2827,Jeffrey Marc,56720882,21,34,21,0,3,4,2,4,5,62,68,79,beginner_data_science
2828,Terrie Baker,59235167,69,1,86,3,4,6,4,7,0,52,35,75,beginner_front_end
2829,Herbert Burnett,41520766,23,40,26,1,2,1,9,4,3,55,76,74,advanced_backend
2830,Judy Behm,6921137,26,91,16,5,2,6,0,6,2,84,59,89,advanced_data_science
2831,Albert Ward,41285411,23,59,44,2,3,5,5,4,7,65,87,61,advanced_backend
2832,Leroy Moore,67099843,17,35,38,2,4,2,4,3,7,66,69,74,beginner_backend
2833,Lila Coleman,67528297,62,6,60,4,5,4,4,7,6,65,59,69,beginner_front_end
2834,Joann Beard,67602006,71,44,36,7,1,7,2,5,5,81,63,74,advanced_backend
2835,Christina Watson,93965842,55,57,12,5,5,5,1,5,3,73,47,50,beginner_front_end
2836,Cristal West,54465598,71,34,28,2,8,5,4,3,0,62,75,38,advanced_front_end
2837,John Perry,71435470,33,50,66,2,2,0,4,5,,84,98,96,beginner_backend
2838,Carmen Rivers,35191726,25,41,80,0,5,4,1,2,5,60,40,79,advanced_data_science
2839,Kelli Howard,3399421,54,25,28,1,6,4,3,4,3,43,69,50,advanced_front_end
2840,Tommy Long,44996255,48,39,32,5,3,3,6,2,6,78,76,73,advanced_backend
2841,Gerry Camp,45637855,51,52,42,2,0,3,3,7,2,59,52,62,beginner_backend
2842,Shirley Peters,2274309,0,68,52,7,3,9,5,2,7,73,58,90,advanced_backend
2843,Ethel Fultz,53837017,15,27,45,5,7,3,4,3,7,78,88,79,beginner_backend
2844,Angela Lavergne,77087685,73,65,37,6,2,0,5,,1,70,70,91,beginner_backend
2845,Edward Mullen,76910574,18,48,34,3,3,3,7,4,6,74,83,59,advanced_backend
2846,Andrew Parr,11138926,25,40,58,5,3,6,3,3,3,60,73,67,beginner_data_science
2847,Joseph Harris,54612192,57,65,12,11,4,6,3,4,0,71,76,88,advanced_data_science
2848,David Ortiz,20779533,26,62,39,4,1,6,1,2,4,84,84,73,advanced_backend
2849,Donald Hartley,99892526,4,20,43,8,4,7,2,6,9,87,85,80,advanced_backend
2850,Holly Tucker,34495504,33,30,53,2,4,6,1,4,,71,67,77,beginner_data_science
2851,Darlene Youngblood,26960053,61,68,43,5,8,3,4,3,1,71,71,51,advanced_front_end
2852,Kevin Lamey,95029065,81,43,37,7,5,6,2,3,2,57,62,57,beginner_front_end
2853,Crystal Breisch,75680696,23,25,45,4,3,10,2,2,2,59,97,83,beginner_data_science
2854,Damian Carter,42689215,69,63,44,2,5,0,6,3,2,59,74,100,advanced_front_end
2855,Allen White,12945726,24,29,86,5,0,8,6,0,2,67,,48,beginner_data_science
2856,Richard Avery,42658284,30,10,30,2,5,6,0,4,3,43,71,28,advanced_front_end
2857,Alfredo Stanfield,92758139,63,21,75,2,1,6,1,3,5,56,47,61,advanced_data_science
2858,Cheryl Jordan,92462875,47,0,61,3,3,2,6,7,2,69,48,70,beginner_front_end
2859,Douglass Dalton,16933697,7,48,0,3,0,0,3,5,2,83,67,77,beginner_backend
2860,Doris Burke,23825623,21,32,50,3,2,4,4,9,2,84,55,66,beginner_front_end
2861,Louis Blake,80012437,46,24,43,1,2,0,7,5,2,47,43,54,beginner_data_science
2862,Kelly Goldstein,51507107,43,65,14,4,0,2,1,6,4,59,71,70,beginner_backend
2863,Shirley Bucci,64668830,63,56,63,4,2,3,5,7,0,81,88,80,beginner_backend
2864,Mark Garcia,29696716,33,69,23,4,2,3,2,3,2,78,82,66,beginner_backend
2865,Stephen Jordan,86118476,0,78,54,6,1,7,10,0,2,83,52,64,advanced_backend
2866,Kim Dreessen,14495747,68,66,39,2,6,4,2,8,3,69,29,37,beginner_front_end
2867,Jason Wells,26549263,41,36,50,2,5,3,4,6,2,74,55,59,beginner_front_end
2868,Charles Travillian,21668235,33,42,59,2,1,3,6,2,7,58,92,87,beginner_backend
2869,Jung Garcia,77826164,76,11,37,5,4,2,6,4,4,46,73,79,advanced_data_science
2870,Bobbie Cervone,44356814,78,33,48,4,7,4,6,1,2,50,62,59,beginner_front_end
2871,Stacey Getz,23217194,12,60,32,3,8,5,6,4,4,87,78,63,advanced_front_end
2872,Terry Mann,15525432,16,44,37,3,5,2,3,6,4,57,85,78,advanced_front_end
2873,Jeffrey Grisby,33636421,60,38,68,5,2,5,3,0,1,65,43,76,advanced_data_science
2874,Alicia Bond,26731875,56,32,28,4,2,4,7,5,9,76,75,69,advanced_backend
2875,Thomas Thayer,11128166,53,12,48,6,5,6,4,6,2,72,47,69,beginner_front_end
2876,Claire Jordan,14431749,0,23,23,1,5,4,2,0,8,93,69,58,beginner_backend
2877,Jesse Philbrick,80921026,35,48,31,5,2,5,0,3,2,84,59,91,advanced_data_science
2878,Carl Brown,67817918,92,19,54,3,6,8,3,6,0,48,46,73,beginner_front_end
2879,Glenn Horner,92555399,36,35,40,3,4,4,0,5,4,54,56,63,advanced_data_science
